0.7,Name,group,Displayed Name,frequency displayed,description,identity name,listIdv1,listId,brazeSubscribeEventNamePrefix,brazeNewsletterName,brazeSubscribeAttributeName,brazeSubscribeAttributeNameAlternate (optional),campaignName (ophan),campaignCode (ophan),restricted,paused,cancelled,"confirmation  email",previews DO NOT SHARE RED LINKS - ONLY SCREENGRABS!,Sign up page,mailName,mailTitle,mailDescription,mailSuccessDescription,"mailHexCode optional default to #DCDCDC",mailImageUrl  (optional),illustration (optional),Topic (if not obvious!),Frequency/Sending time,Format,"Key contact ",Notes,Treat?,brazeSubscribeAttributeNameAlternate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEWS,First Edition,News in depth,First Edition,Every weekday,"Archie Bland and Nimo Omer take you through the top stories and what they mean, free every weekday morning",morning-briefing,3640,4156,morning_briefing_uk,Editorial_MorningBriefingUK,MorningBriefingUk_Subscribe_Email,email_subscribe_morning_briefing_uk,MorningBriefingUK,morningbriefinguk_email,FALSE,FALSE,FALSE,"FALSE",https://www.theguardian.com/info/2016/mar/01/the-morning-briefing-start-the-day-one-step-ahead,,,"Our morning email breaks down the key stories of the day, telling you what’s happening and why it matters",We'll send you First Edition every weekday,,,,weekday mornings,Weekdays/~6.30am,Article,Warren Murray / Alison Rourke / Martin Farrer,,***,email_subscribe_morning_briefing_uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEWS,First Thing (AKA: US Morning Briefing),News in detail,First Thing,Every weekday,"Start the day with the top stories from the US, plus the day’s must-reads from across the Guardian",us-morning-newsletter,-1,4300,morning_briefing_us,Editorial_USMorningBriefing,MorningBriefingUs_Subscribe_Email,email_subscribe_morning_briefing_us,USMorningBriefing,usbriefing_email,FALSE,FALSE,FALSE,"FALSE",https://www.theguardian.com/us-news/series/guardian-us-briefing/latest/email,https://www.theguardian.com/info/2018/sep/17/guardian-us-morning-briefing-sign-up-to-stay-informed,,,"Our US morning briefing breaks down the key stories of the day, telling you what’s happening and why it matters",We'll send you First Thing every weekday,,https://media.guim.co.uk/c1ba2b4e07f8c982de60dba4b8d93dc77965c198/0_0_202_202/202.png,https://media.guim.co.uk/c1ba2b4e07f8c982de60dba4b8d93dc77965c198/0_0_202_202/202.png,weekday mornings,Weekdays/~11.30am,Article,"Max Benwell / Tim Walker / Mattha Busby / Molly Blackwell",,us,email_subscribe_morning_briefing_us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Animals farmed,,Animals farmed,Monthly,Get a round-up of the best farming and food stories across the world and keep up with our investigation as we track the impact intensive practices and meet those offering sustainable solutions to feed us all.,animals-farmed,-1,4222,animals_farmed,Editorial_AnimalsFarmed,AnimalsFarmed_Subscribe_Email,email_subscribe_animals_farmed,AnimalsFarmed,amimalsfarmed_email,FALSE,FALSE,FALSE,"FALSE",https://www.theguardian.com/animals-farmed/series/animals-farmed-update/latest/email,https://www.theguardian.com/animals-farmed/2018/feb/21/animals-farmed-join-us-for-monthly-updates-newsletter-updates,,,Keep up with our investigations on the impact of intensive farming and sustainable solutions to feed us all,We'll send you Animals Farmed every month,"#58D08B",,,Series of same name,,Article,"Bibi van der Zee / Tom Levitt",,environment/series/animals-farmed,email_subscribe_animals_farmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Guardian Headlines UK,News in brief,The Guardian Headlines UK,Every day,A digest of the morning's main headlines emailed direct to you every week day,today-uk,37,4151,today_uk,Editorial_GuardianTodayUK,TodayUk_Subscribe_Email,email_subscribe_today_uk,GuardianTodayUK,GTUK_email,FALSE,FALSE,FALSE,"FALSE",https://www.theguardian.com/email/uk/daily,https://www.theguardian.com/info/2015/dec/08/daily-email-uk,,,Get the day’s headlines and highlights emailed direct to you every morning,We'll send you The Guardian Headlines UK every day,,,,,"Daily/Weekdays 5am, Weekend 8am",Automated,,,uk,email_subscribe_today_uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPINION,Best of Guardian Opinion UK,Opinion,The Best of Guardian Opinion,Every weekday,Get out of your bubble. Sign up for our daily selection of opinion pieces and and see things from another point of view,best-of-opinion,2313,4161,best_of_guardian_opinion_uk,Editorial_BestOfGuardianOpinionUK,BestOfGuardianOpinionUK_Subscribe_Email,email_subscribe_best_of_guardian_opinion_uk,BestOfGuardianOpinionUK,opinionuk_email,FALSE,FALSE,FALSE,"FALSE",https://www.theguardian.com/email/opinion,https://www.theguardian.com/commentisfree/2014/jan/29/comment-is-free-daily-roundup,Best of Guardian Opinion,Sign up for the best of Guardian Opinion,See things from another point of view with our daily selection of opinion pieces. You might even change your mind,We'll send you the best of Guardian Opinion every weekday,"#F9B376",,,,Weekdays/5pm,Automated,,,uk/commentisfree,email_subscribe_best_of_guardian_opinion_uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Week in Patriarchy,,The Week in Patriarchy,Weekly,Reviewing the most important stories on feminism and sexism and those fighting for equality,patriarchy,3820,4170,the_week_in_patriarchy,Editorial_TheWeekInPatriarchy,TheWeekInPatriarchy_Subscribe_Email,"email_subscribe_the_week_in_patriarchy, TheWeekInPartiarchy_Subscribe_Email, email_subscribe_the_week_in_partiarchy",TheWeekInPatriarchy,weekinpatriarchy_email,FALSE,FALSE,FALSE,"FALSE",https://www.theguardian.com/commentisfree/series/the-week-in-patriarchy/latest/email,https://www.theguardian.com/info/2017/jan/19/this-week-in-the-patriarchy-jessica-valenti-email,,,Get a weekly recap of the most important stories on feminism and sexism and those fighting for equality,We'll send you The Week in Patriarchy every week,"#F9B376",,,Arwa Mahdawi column,"Weekly, Saturday/11am (New York)",Article,"Arwa Mahdawi",,Link on tag page,"email_subscribe_the_week_in_patriarchy, TheWeekInPartiarchy_Subscribe_Email, email_subscribe_the_week_in_partiarchy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,First Dog on the Moon,,First Dog on the Moon,About three times a week,Get an email alert whenever a new First Dog on the Moon cartoon is published by Guardian Australia,first-dog,2635,4145,first_dog_on_the_moon,Editorial_FirstDogOnTheMoon,FirstDogOnTheMoon_Subscribe_Email,email_subscribe_first_dog_on_the_moon,FirstDogOnTheMoon,firstdog_email,FALSE,FALSE,FALSE,"FALSE",https://www.theguardian.com/email/first-dog-on-the-moon,https://www.theguardian.com/commentisfree/2014/jun/16/-sp-first-dog-on-the-moon-subscribe-by-email,,,Get an email alert whenever a new First Dog on the Moon cartoon is published,We'll send you First Dog on the Moon whenever a new cartoon is published,"#F9B376",,,cartoon,Daily,Automated,,,/au,email_subscribe_first_dog_on_the_moon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,brexit-briefing,,brexit-briefing,,,brexit-briefing,9999,9999,,,,,,,FALSE,FALSE,TRUE,"FALSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
